query_type,true_person,query_image,pred_person,best_person,similarity,threshold,decision,correct,query_face_count,query_det_score,enroll_image
known,cx,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx4.jpg,cx,cx,0.594758,0.500000,matched,true,1,0.7249,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx3.jpg
known,cx,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx5.jpg,cx,cx,0.672201,0.500000,matched,true,1,0.7954,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx3.jpg
known,cx,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx6.jpg,cx,cx,0.622492,0.500000,matched,true,1,0.7959,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx2.jpg
known,cx,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx7.jpg,cx,cx,0.743491,0.500000,matched,true,1,0.8031,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx3.jpg
known,cx,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx8.jpg,cx,cx,0.668246,0.500000,matched,true,1,0.8377,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx3.jpg
known,hb,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb4.jpg,hb,hb,0.573008,0.500000,matched,true,1,0.7849,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb1.jpg
known,hb,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb5.jpg,hb,hb,0.641591,0.500000,matched,true,1,0.688,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb2.jpg
known,hb,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb6.jpg,hb,hb,0.651470,0.500000,matched,true,1,0.8356,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb1.jpg
known,hb,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb7.jpg,,,,0.500000,no_face,false,0,,
known,hb,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb8.jpg,hb,hb,0.664299,0.500000,matched,true,1,0.858,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb1.jpg
