threshold,known_detected,known_correct_accepts,known_success_rate,unknown_detected,unknown_false_accepts,false_accept_rate,unknown_rejection_rate,balanced_accuracy
0.300000,48,48,1.000000,141,3,0.021277,0.978723,0.989362
0.310000,48,48,1.000000,141,2,0.014184,0.985816,0.992908
0.320000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.330000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.340000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.350000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.360000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.370000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.380000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.390000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.400000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.410000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.420000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.430000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.440000,48,48,1.000000,141,0,0.000000,1.000000,1.000000
0.450000,48,47,0.979167,141,0,0.000000,1.000000,0.989583
0.460000,48,47,0.979167,141,0,0.000000,1.000000,0.989583
0.470000,48,47,0.979167,141,0,0.000000,1.000000,0.989583
0.480000,48,47,0.979167,141,0,0.000000,1.000000,0.989583
0.490000,48,47,0.979167,141,0,0.000000,1.000000,0.989583
0.500000,48,46,0.958333,141,0,0.000000,1.000000,0.979167
0.510000,48,44,0.916667,141,0,0.000000,1.000000,0.958333
0.520000,48,44,0.916667,141,0,0.000000,1.000000,0.958333
0.530000,48,44,0.916667,141,0,0.000000,1.000000,0.958333
0.540000,48,42,0.875000,141,0,0.000000,1.000000,0.937500
0.550000,48,41,0.854167,141,0,0.000000,1.000000,0.927083
0.560000,48,40,0.833333,141,0,0.000000,1.000000,0.916667
0.570000,48,38,0.791667,141,0,0.000000,1.000000,0.895833
0.580000,48,37,0.770833,141,0,0.000000,1.000000,0.885417
0.590000,48,35,0.729167,141,0,0.000000,1.000000,0.864583
0.600000,48,32,0.666667,141,0,0.000000,1.000000,0.833333
0.610000,48,29,0.604167,141,0,0.000000,1.000000,0.802083
0.620000,48,29,0.604167,141,0,0.000000,1.000000,0.802083
0.630000,48,26,0.541667,141,0,0.000000,1.000000,0.770833
0.640000,48,25,0.520833,141,0,0.000000,1.000000,0.760417
0.650000,48,19,0.395833,141,0,0.000000,1.000000,0.697917
0.660000,48,16,0.333333,141,0,0.000000,1.000000,0.666667
0.670000,48,13,0.270833,141,0,0.000000,1.000000,0.635417
0.680000,48,9,0.187500,141,0,0.000000,1.000000,0.593750
0.690000,48,8,0.166667,141,0,0.000000,1.000000,0.583333
0.700000,48,6,0.125000,141,0,0.000000,1.000000,0.562500
0.710000,48,5,0.104167,141,0,0.000000,1.000000,0.552083
0.720000,48,4,0.083333,141,0,0.000000,1.000000,0.541667
0.730000,48,4,0.083333,141,0,0.000000,1.000000,0.541667
0.740000,48,4,0.083333,141,0,0.000000,1.000000,0.541667
0.750000,48,3,0.062500,141,0,0.000000,1.000000,0.531250
0.760000,48,2,0.041667,141,0,0.000000,1.000000,0.520833
0.770000,48,2,0.041667,141,0,0.000000,1.000000,0.520833
0.780000,48,2,0.041667,141,0,0.000000,1.000000,0.520833
0.790000,48,2,0.041667,141,0,0.000000,1.000000,0.520833
0.800000,48,2,0.041667,141,0,0.000000,1.000000,0.520833
