threshold,known_detected,known_correct_accepts,known_success_rate,unknown_detected,unknown_false_accepts,false_accept_rate,unknown_rejection_rate,balanced_accuracy
0.300000,51,51,1.000000,141,3,0.021277,0.978723,0.989362
0.310000,51,51,1.000000,141,2,0.014184,0.985816,0.992908
0.320000,51,51,1.000000,141,0,0.000000,1.000000,1.000000
0.330000,51,51,1.000000,141,0,0.000000,1.000000,1.000000
0.340000,51,51,1.000000,141,0,0.000000,1.000000,1.000000
0.350000,51,49,0.960784,141,0,0.000000,1.000000,0.980392
0.360000,51,49,0.960784,141,0,0.000000,1.000000,0.980392
0.370000,51,49,0.960784,141,0,0.000000,1.000000,0.980392
0.380000,51,49,0.960784,141,0,0.000000,1.000000,0.980392
0.390000,51,49,0.960784,141,0,0.000000,1.000000,0.980392
0.400000,51,49,0.960784,141,0,0.000000,1.000000,0.980392
0.410000,51,49,0.960784,141,0,0.000000,1.000000,0.980392
0.420000,51,49,0.960784,141,0,0.000000,1.000000,0.980392
0.430000,51,49,0.960784,141,0,0.000000,1.000000,0.980392
0.440000,51,49,0.960784,141,0,0.000000,1.000000,0.980392
0.450000,51,48,0.941176,141,0,0.000000,1.000000,0.970588
0.460000,51,48,0.941176,141,0,0.000000,1.000000,0.970588
0.470000,51,48,0.941176,141,0,0.000000,1.000000,0.970588
0.480000,51,48,0.941176,141,0,0.000000,1.000000,0.970588
0.490000,51,47,0.921569,141,0,0.000000,1.000000,0.960784
0.500000,51,46,0.901961,141,0,0.000000,1.000000,0.950980
0.510000,51,44,0.862745,141,0,0.000000,1.000000,0.931373
0.520000,51,44,0.862745,141,0,0.000000,1.000000,0.931373
0.530000,51,44,0.862745,141,0,0.000000,1.000000,0.931373
0.540000,51,42,0.823529,141,0,0.000000,1.000000,0.911765
0.550000,51,41,0.803922,141,0,0.000000,1.000000,0.901961
0.560000,51,40,0.784314,141,0,0.000000,1.000000,0.892157
0.570000,51,38,0.745098,141,0,0.000000,1.000000,0.872549
0.580000,51,37,0.725490,141,0,0.000000,1.000000,0.862745
0.590000,51,35,0.686275,141,0,0.000000,1.000000,0.843137
0.600000,51,32,0.627451,141,0,0.000000,1.000000,0.813725
0.610000,51,29,0.568627,141,0,0.000000,1.000000,0.784314
0.620000,51,29,0.568627,141,0,0.000000,1.000000,0.784314
0.630000,51,26,0.509804,141,0,0.000000,1.000000,0.754902
0.640000,51,25,0.490196,141,0,0.000000,1.000000,0.745098
0.650000,51,19,0.372549,141,0,0.000000,1.000000,0.686275
0.660000,51,16,0.313725,141,0,0.000000,1.000000,0.656863
0.670000,51,13,0.254902,141,0,0.000000,1.000000,0.627451
0.680000,51,9,0.176471,141,0,0.000000,1.000000,0.588235
0.690000,51,8,0.156863,141,0,0.000000,1.000000,0.578431
0.700000,51,6,0.117647,141,0,0.000000,1.000000,0.558824
0.710000,51,5,0.098039,141,0,0.000000,1.000000,0.549020
0.720000,51,4,0.078431,141,0,0.000000,1.000000,0.539216
0.730000,51,4,0.078431,141,0,0.000000,1.000000,0.539216
0.740000,51,4,0.078431,141,0,0.000000,1.000000,0.539216
0.750000,51,3,0.058824,141,0,0.000000,1.000000,0.529412
0.760000,51,2,0.039216,141,0,0.000000,1.000000,0.519608
0.770000,51,2,0.039216,141,0,0.000000,1.000000,0.519608
0.780000,51,2,0.039216,141,0,0.000000,1.000000,0.519608
0.790000,51,2,0.039216,141,0,0.000000,1.000000,0.519608
0.800000,51,2,0.039216,141,0,0.000000,1.000000,0.519608
