group,filename,issue,recommended_action
陌生人1,0ed16773a3ca893580b6a6ffc5b874c4.jpg,no_face,替换或保留为检测失败案例
陌生人1,2b085fc046c8b292514dc189bd0980ce.jpg,no_face,替换或保留为检测失败案例
陌生人1,537a02bb869d2c3395a632a2b1131f47.jpg,no_face,替换或保留为检测失败案例
陌生人1,962605cd25fbfa993e182a3a22b8b51c.jpg,no_face,替换或保留为检测失败案例
陌生人1,b241bb262e29b7ddeca99efbf585b172.jpg,no_face,替换或保留为检测失败案例
陌生人1,d9ac7b2f5c49f3078fe48428683ee1b6.jpg,no_face,替换或保留为检测失败案例
陌生人4,a142e313a907a44afb5919d44a46b5bd.jpg,no_face,替换或保留为检测失败案例
陌生人10,bbb387c490d8b477f15fbeb867607fef.jpg,no_face,替换或保留为检测失败案例
陌生人9,c898c31d35ebbe4b2b5069a821c8e8c5.jpg,multiple_faces,裁剪到只保留目标人物
陌生人12,9fad362aa3190bf7bfca0e5cc431c4b2.jpg,multiple_faces,裁剪到只保留目标人物
陌生人12,b04ab27e2575f95d27e89318b3a16327.jpg,multiple_faces,裁剪到只保留目标人物
陌生人19,93253335a931fb14867ff02a81ffcdf6.jpg,multiple_faces,裁剪到只保留目标人物
陌生人19,fb83b2de4c9e5ec5a527c4d4495ccdea.jpg,multiple_faces,裁剪到只保留目标人物
陌生人21,50d9e0cb1dd145768bcb060999dbb688.jpg,multiple_faces,裁剪到只保留目标人物
陌生人21,f4600fb7b952ead7820ac3f41697ccf1.jpg,multiple_faces,裁剪到只保留目标人物
陌生人22,2f2993337f41a693e015710cc805e4bc.jpg,multiple_faces,裁剪到只保留目标人物
陌生人22,6687dd750671f6821116e2669b9386be.jpg,multiple_faces,裁剪到只保留目标人物
