threshold,known_detected,known_correct_accepts,known_success_rate,unknown_detected,unknown_false_accepts,false_accept_rate,unknown_rejection_rate,balanced_accuracy
0.300000,51,51,1.000000,150,4,0.026667,0.973333,0.986667
0.310000,51,51,1.000000,150,3,0.020000,0.980000,0.990000
0.320000,51,51,1.000000,150,1,0.006667,0.993333,0.996667
0.330000,51,51,1.000000,150,0,0.000000,1.000000,1.000000
0.340000,51,51,1.000000,150,0,0.000000,1.000000,1.000000
0.350000,51,50,0.980392,150,0,0.000000,1.000000,0.990196
0.360000,51,50,0.980392,150,0,0.000000,1.000000,0.990196
0.370000,51,50,0.980392,150,0,0.000000,1.000000,0.990196
0.380000,51,50,0.980392,150,0,0.000000,1.000000,0.990196
0.390000,51,50,0.980392,150,0,0.000000,1.000000,0.990196
0.400000,51,50,0.980392,150,0,0.000000,1.000000,0.990196
0.410000,51,50,0.980392,150,0,0.000000,1.000000,0.990196
0.420000,51,50,0.980392,150,0,0.000000,1.000000,0.990196
0.430000,51,50,0.980392,150,0,0.000000,1.000000,0.990196
0.440000,51,50,0.980392,150,0,0.000000,1.000000,0.990196
0.450000,51,49,0.960784,150,0,0.000000,1.000000,0.980392
0.460000,51,49,0.960784,150,0,0.000000,1.000000,0.980392
0.470000,51,48,0.941176,150,0,0.000000,1.000000,0.970588
0.480000,51,48,0.941176,150,0,0.000000,1.000000,0.970588
0.490000,51,48,0.941176,150,0,0.000000,1.000000,0.970588
0.500000,51,48,0.941176,150,0,0.000000,1.000000,0.970588
0.510000,51,47,0.921569,150,0,0.000000,1.000000,0.960784
0.520000,51,46,0.901961,150,0,0.000000,1.000000,0.950980
0.530000,51,46,0.901961,150,0,0.000000,1.000000,0.950980
0.540000,51,44,0.862745,150,0,0.000000,1.000000,0.931373
0.550000,51,43,0.843137,150,0,0.000000,1.000000,0.921569
0.560000,51,42,0.823529,150,0,0.000000,1.000000,0.911765
0.570000,51,40,0.784314,150,0,0.000000,1.000000,0.892157
0.580000,51,39,0.764706,150,0,0.000000,1.000000,0.882353
0.590000,51,37,0.725490,150,0,0.000000,1.000000,0.862745
0.600000,51,33,0.647059,150,0,0.000000,1.000000,0.823529
0.610000,51,30,0.588235,150,0,0.000000,1.000000,0.794118
0.620000,51,30,0.588235,150,0,0.000000,1.000000,0.794118
0.630000,51,27,0.529412,150,0,0.000000,1.000000,0.764706
0.640000,51,26,0.509804,150,0,0.000000,1.000000,0.754902
0.650000,51,20,0.392157,150,0,0.000000,1.000000,0.696078
0.660000,51,17,0.333333,150,0,0.000000,1.000000,0.666667
0.670000,51,14,0.274510,150,0,0.000000,1.000000,0.637255
0.680000,51,10,0.196078,150,0,0.000000,1.000000,0.598039
0.690000,51,9,0.176471,150,0,0.000000,1.000000,0.588235
0.700000,51,7,0.137255,150,0,0.000000,1.000000,0.568627
0.710000,51,6,0.117647,150,0,0.000000,1.000000,0.558824
0.720000,51,5,0.098039,150,0,0.000000,1.000000,0.549020
0.730000,51,5,0.098039,150,0,0.000000,1.000000,0.549020
0.740000,51,5,0.098039,150,0,0.000000,1.000000,0.549020
0.750000,51,4,0.078431,150,0,0.000000,1.000000,0.539216
0.760000,51,3,0.058824,150,0,0.000000,1.000000,0.529412
0.770000,51,3,0.058824,150,0,0.000000,1.000000,0.529412
0.780000,51,3,0.058824,150,0,0.000000,1.000000,0.529412
0.790000,51,3,0.058824,150,0,0.000000,1.000000,0.529412
0.800000,51,3,0.058824,150,0,0.000000,1.000000,0.529412
